vote,response,sample,time,user,subject,sample_type,gold_standard
-LZMyinoNa4xXuRJeR1x,0,gold_subject_001336_t1_in_tfMRI_MID1_copy4,2644,user_0016,subject_001336,t1_in_tfMRI_MID1,True
-LZMyjUvQUSMIQ_KDMR2,0,subject_002083_t1_in_task-SST01,2702,user_0016,subject_002083,t1_in_task-SST01,False
-LZMykfweY6l2Z1-WAu3,0,gold_subject_000206_t1_in_rfMRI_REST2_copy1,4739,user_0016,subject_000206,t1_in_rfMRI_REST2,True
-LZMynb62WRODsiNYnpd,1,subject_000082_task-rest03_in_t1,11862,user_0016,subject_000082,task-rest03_in_t1,False
-LZMz27z6C31lRi9XtJ3,1,gold_subject_002457_tfMRI_MID2_in_t1_copy2,63490,user_0016,subject_002457,tfMRI_MID2_in_t1,True
-LZMz38OUxSCsxWYDqnU,1,gold_subject_000426_tfMRI_MID1_in_t1_copy2,3979,user_0016,subject_000426,tfMRI_MID1_in_t1,True
-LZMz4n7fqTOacIzB6DP,0,gold_subject_001656_t1_in_tfMRI_MID2_copy4,6634,user_0016,subject_001656,t1_in_tfMRI_MID2,True
-LZMz6ATRz2UvxhmwKSD,1,subject_002863_task-rest03_in_t1,5537,user_0016,subject_002863,task-rest03_in_t1,False
-LZMz7UKV1w31CGM9Ub2,1,gold_subject_000556_tfMRI_nBack1_in_t1_copy4,5231,user_0016,subject_000556,tfMRI_nBack1_in_t1,True
-LZMz84mrcM-VzfcsbsW,0,gold_subject_001224_t1_in_tfMRI_MID1_copy1,2334,user_0016,subject_001224,t1_in_tfMRI_MID1,True
-LZMz8j74ulJNYUNWqeX,0,gold_subject_000186_t1_in_tfMRI_SST2_copy4,2529,user_0016,subject_000186,t1_in_tfMRI_SST2,True
-LZMz9vIHbAaPqklqikc,1,gold_subject_001025_tfMRI_SST1_in_t1_copy3,4754,user_0016,subject_001025,tfMRI_SST1_in_t1,True
-LZMzAUlug2yE9Z2p1Nw,0,subject_002567_t1_in_task-rest04,2202,user_0016,subject_002567,t1_in_task-rest04,False
-LZMzBL0ZEPe02dje0p1,0,subject_003906_task-rest02_in_t1,3356,user_0016,subject_003906,task-rest02_in_t1,False
-LZMzBu8SuVOtfs7GjkJ,0,subject_003675_t1_in_task-SST02,2187,user_0016,subject_003675,t1_in_task-SST02,False
-LZMzCUT_P7i5hzXvsJ5,0,subject_003874_t1_in_task-nback02,2272,user_0016,subject_003874,t1_in_task-nback02,False
-LZMzDAYcXO5ycr7uASt,0,subject_002576_t1_in_task-nback01,2705,user_0016,subject_002576,t1_in_task-nback01,False
-LZMzE6uxWolglNePFJc,0,gold_subject_000798_t1_in_tfMRI_SST1_copy4,3730,user_0016,subject_000798,t1_in_tfMRI_SST1,True
-LZMzF9pIZx3chC37ftw,1,gold_subject_000331_tfMRI_SST1_in_t1_copy1,4148,user_0016,subject_000331,tfMRI_SST1_in_t1,True
-LZMzFzfxB28um1bodJH,1,subject_004013_task-rest01_in_t1,3265,user_0016,subject_004013,task-rest01_in_t1,False
-LZMzGYE_ahKZDoXqNj_,1,subject_001846_t1_in_task-SST01,2155,user_0016,subject_001846,t1_in_task-SST01,False
-LZMzISJbSfwXeeULMuv,1,subject_002222_task-SST02_in_t1,7696,user_0016,subject_002222,task-SST02_in_t1,False
-LZMzJh-uXWXqw4jMmw3,0,gold_subject_000905_t1_in_tfMRI_nBack2_copy4,4976,user_0016,subject_000905,t1_in_tfMRI_nBack2,True
-LZMzKHlTjL6vzUO9yBa,0,gold_subject_000403_t1_in_rfMRI_REST4_copy3,2294,user_0016,subject_000403,t1_in_rfMRI_REST4,True
-LZMzLiO909L7z7H7VlX,1,gold_subject_002649_rfMRI_REST2_in_t1_copy4,5744,user_0016,subject_002649,rfMRI_REST2_in_t1,True
-LZMzMMgUUt9qvb6X7MV,0,gold_subject_000681_t1_in_rfMRI_REST3_copy3,2521,user_0016,subject_000681,t1_in_rfMRI_REST3,True
-LZMzNa_JnNvAjg1x07Z,1,subject_003108_task-nback01_in_t1,4925,user_0016,subject_003108,task-nback01_in_t1,False
-LZMzO9n1UFal0KE0Irp,0,gold_subject_000746_t1_in_rfMRI_REST1_copy3,2175,user_0016,subject_000746,t1_in_rfMRI_REST1,True
-LZMzQ_vFSog8JuVpY0o,1,gold_subject_000828_t1_in_tfMRI_MID1_copy1,9806,user_0016,subject_000828,t1_in_tfMRI_MID1,True
-LZMzS6DLKlo9y1b3jQp,0,subject_002586_t1_in_task-nback01,6109,user_0016,subject_002586,t1_in_task-nback01,False
-LZMzSiUktgASy7OfsjM,0,subject_001378_t1_in_task-rest04,2392,user_0016,subject_001378,t1_in_task-rest04,False
-LZMzTJiaXjuL_iTYmEg,0,subject_002940_t1_in_task-SST02,2324,user_0016,subject_002940,t1_in_task-SST02,False
-LZMzU51at-tfn-R-3zV,0,subject_001079_t1_in_task-MID01,3034,user_0016,subject_001079,t1_in_task-MID01,False
-LZMzUn6_3l-5T0LS1L6,1,gold_subject_000325_tfMRI_nBack2_in_t1_copy4,2751,user_0016,subject_000325,tfMRI_nBack2_in_t1,True
-LZMzVlrn4Suw0bVnY2f,1,subject_002294_task-MID01_in_t1,3894,user_0016,subject_002294,task-MID01_in_t1,False
-LZMzWJRHOUSE3Q4iXuM,0,subject_002685_t1_in_task-rest03,2076,user_0016,subject_002685,t1_in_task-rest03,False
-LZMzXLmrainjdN2QyGS,1,subject_002654_task-SST01_in_t1,4128,user_0016,subject_002654,task-SST01_in_t1,False
-LZMzYFczQ8_1Y9qgRfP,1,subject_001460_task-rest03_in_t1,3575,user_0016,subject_001460,task-rest03_in_t1,False
-LZMzYmj-vWEhKtJrStb,0,gold_subject_002807_t1_in_tfMRI_nBack1_copy3,2061,user_0016,subject_002807,t1_in_tfMRI_nBack1,True
-LZMzZrL4FWoD4GR1fkD,1,subject_002614_task-SST01_in_t1,4272,user_0016,subject_002614,task-SST01_in_t1,False
-LZMz_dRQzQwBF4_pTPL,0,subject_003312_t1_in_task-nback02,3075,user_0016,subject_003312,t1_in_task-nback02,False
-LZMzaDbVdPoezsz870L,0,gold_subject_000040_t1_in_tfMRI_SST2_copy4,2260,user_0016,subject_000040,t1_in_tfMRI_SST2,True
-LZMzamr2DjJNWY7CMT0,0,subject_003205_t1_in_task-SST02,2194,user_0016,subject_003205,t1_in_task-SST02,False
-LZMzbg9S574X7ORdEcl,1,subject_003348_task-rest01_in_t1,3529,user_0016,subject_003348,task-rest01_in_t1,False
-LZMzcELz_rrW-sgquKo,0,subject_003667_t1_in_task-rest03,2136,user_0016,subject_003667,t1_in_task-rest03,False
-LZMzcr_RgSckjOyQKc2,0,gold_subject_001261_t1_in_rfMRI_REST3_copy4,2457,user_0016,subject_001261,t1_in_rfMRI_REST3,True
-LZMzdfZFJ4NUqZ6ABhs,1,subject_003910_task-SST01_in_t1,3199,user_0016,subject_003910,task-SST01_in_t1,False
-LZMzeGCwalRAWAmxsNc,0,gold_subject_002056_t1_in_rfMRI_REST2_copy1,2278,user_0016,subject_002056,t1_in_rfMRI_REST2,True
-LZMzeqsEDsRa0ji8H0G,1,subject_001590_task-MID01_in_t1,2285,user_0016,subject_001590,task-MID01_in_t1,False
-LZMzfQRf4uroAHAt7SD,0,subject_003719_t1_in_task-rest03,2224,user_0016,subject_003719,t1_in_task-rest03,False
-LZMzg5w52qldCASBUSb,1,subject_000070_task-rest04_in_t1,2656,user_0016,subject_000070,task-rest04_in_t1,False
-LZMzh2MNphE4h36Il0V,1,gold_subject_000068_tfMRI_SST2_in_t1_copy2,3732,user_0016,subject_000068,tfMRI_SST2_in_t1,True
-LZMzhtkR5O3m0FkF2sD,1,gold_subject_000796_tfMRI_MID2_in_t1_copy4,3363,user_0016,subject_000796,tfMRI_MID2_in_t1,True
-LZMziYdrBrXy-EB_-yD,0,subject_002511_t1_in_task-rest01,2556,user_0016,subject_002511,t1_in_task-rest01,False
-LZMzjWLHObu9zrB_pb_,1,subject_000293_t1_in_task-rest03,3822,user_0016,subject_000293,t1_in_task-rest03,False
-LZMzlF9-JJBFOj-YLA8,1,subject_000772_task-MID01_in_t1,6965,user_0016,subject_000772,task-MID01_in_t1,False
-LZMzlq-yIMvnFj8bOzF,0,subject_000853_t1_in_task-rest04,2302,user_0016,subject_000853,t1_in_task-rest04,False
-LZMzmkUcEhG8IF9_kJ6,1,subject_003657_task-rest02_in_t1,3622,user_0016,subject_003657,task-rest02_in_t1,False
-LZMznimmUUrAA6LsBjb,1,subject_002195_task-MID01_in_t1,3866,user_0016,subject_002195,task-MID01_in_t1,False
-LZMzohlEJ56INO-t8Ih,1,subject_003598_task-nback01_in_t1,3912,user_0016,subject_003598,task-nback01_in_t1,False
-LZMzpkQIcyUGrNaUYjL,1,subject_001346_task-nback02_in_t1,4144,user_0016,subject_001346,task-nback02_in_t1,False
-LZMzqpxx7WJOHPqIGqU,0,subject_001413_t1_in_task-SST02,4335,user_0016,subject_001413,t1_in_task-SST02,False
-LZMzsWrOXX_EAYhqqeS,0,subject_002847_t1_in_task-rest02,6783,user_0016,subject_002847,t1_in_task-rest02,False
-LZMztWh67ZRRRiIKpn6,0,gold_subject_001683_t1_in_tfMRI_MID2_copy3,3970,user_0016,subject_001683,t1_in_tfMRI_MID2,True
-LZMzuLkmD92ZyimRYWw,1,subject_000016_task-nback02_in_t1,3263,user_0016,subject_000016,task-nback02_in_t1,False
-LZMzvDLXceOcpcFu4t_,1,subject_002615_task-SST02_in_t1,3439,user_0016,subject_002615,task-SST02_in_t1,False
-LZMzw0uIGXlZlYbE1iP,1,subject_002136_task-rest02_in_t1,3170,user_0016,subject_002136,task-rest02_in_t1,False
-LZMzw_SnRU_qcXmM63m,0,subject_002912_t1_in_task-rest03,2159,user_0016,subject_002912,t1_in_task-rest03,False
-LZMzxruMFPa0oB8nak-,0,subject_002491_t1_in_task-rest03,5161,user_0016,subject_002491,t1_in_task-rest03,False
-LZMzyzCn_2clme72Ep_,0,subject_002761_t1_in_task-SST02,4432,user_0016,subject_002761,t1_in_task-SST02,False
-LZMzzm3c8XSBlaOkXC3,0,subject_000661_t1_in_task-nback02,3130,user_0016,subject_000661,t1_in_task-nback02,False
-LZN--mHdQ0mWmhM81Am,0,subject_002726_t1_in_task-rest01,3997,user_0016,subject_002726,t1_in_task-rest01,False
-LZN-0gkbG8Frwt7PoiZ,1,subject_000639_task-MID01_in_t1,3608,user_0016,subject_000639,task-MID01_in_t1,False
-LZN-1ZffoxswW3W7pL9,1,subject_000333_task-rest04_in_t1,3450,user_0016,subject_000333,task-rest04_in_t1,False
-LZN-2DZFQTHhjAaSEwr,0,subject_001369_t1_in_task-rest04,2558,user_0016,subject_001369,t1_in_task-rest04,False
-LZN-31mMTBmVCn6a4Ph,1,subject_001583_t1_in_task-rest01,3224,user_0016,subject_001583,t1_in_task-rest01,False
-LZN-3nfXZ43OMnUdoz_,1,subject_001446_task-rest02_in_t1,3006,user_0016,subject_001446,task-rest02_in_t1,False
-LZN-4T4aLbqn5FgPXbK,0,subject_000721_t1_in_task-rest03,2590,user_0016,subject_000721,t1_in_task-rest03,False
-LZN-Leb5JLAWTmebjg7,1,subject_002646_task-rest03_in_t1,4422,user_0016,subject_002646,task-rest03_in_t1,False
-LZN-MJtBCXoaIIoexMP,0,gold_subject_000100_t1_in_rfMRI_REST3_copy2,2561,user_0016,subject_000100,t1_in_rfMRI_REST3,True
-LZN-NMznZZOoNAjrHtO,0,subject_000932_t1_in_task-rest02,4167,user_0016,subject_000932,t1_in_task-rest02,False
-LZN-O8smR4dC26zWlir,1,subject_001524_task-rest01_in_t1,3063,user_0016,subject_001524,task-rest01_in_t1,False
-LZN-OpphCrct9lth0Fj,1,subject_003335_task-SST02_in_t1,2693,user_0016,subject_003335,task-SST02_in_t1,False
-LZN-P_cAC-ndH1GS_l-,1,subject_000174_task-SST01_in_t1,2940,user_0016,subject_000174,task-SST01_in_t1,False
-LZN-RNJ0_bjMKDOm8p_,0,subject_000942_t1_in_task-rest01,7213,user_0016,subject_000942,t1_in_task-rest01,False
-LZN-SbLCpDbvFIWZwsb,1,gold_subject_000081_rfMRI_REST4_in_t1_copy4,4925,user_0016,subject_000081,rfMRI_REST4_in_t1,True
-LZN-T8agrOddctk2Gel,0,gold_subject_001097_t1_in_tfMRI_MID2_copy4,2070,user_0016,subject_001097,t1_in_tfMRI_MID2,True
-LZN-Tsa7RYYJMKM7y_g,1,subject_000696_task-rest02_in_t1,2887,user_0016,subject_000696,task-rest02_in_t1,False
-LZN-zGknjx-EDom47F2,1,gold_subject_000880_t1_in_tfMRI_nBack2_copy1,16471,user_0068,subject_000880,t1_in_tfMRI_nBack2,True
-LZN00j79gJa8Wj9IoVW,1,subject_000723_task-rest01_in_t1,10032,user_0068,subject_000723,task-rest01_in_t1,False
-LZN01bnyDGM41JPL1M3,1,subject_002938_task-MID02_in_t1,3589,user_0068,subject_002938,task-MID02_in_t1,False
-LZN02vD6e70fPUZzPpO,0,gold_subject_001543_tfMRI_MID1_in_t1_copy2,5301,user_0068,subject_001543,tfMRI_MID1_in_t1,True
-LZN052xq1Xo2QdXA_-G,1,subject_003157_t1_in_task-rest03,8709,user_0068,subject_003157,t1_in_task-rest03,False
-LZN063jYj9_i8G23PAu,1,subject_002150_task-rest01_in_t1,4108,user_0068,subject_002150,task-rest01_in_t1,False
-LZN06yErfypE_WFe3Au,1,subject_001413_task-rest04_in_t1,3642,user_0068,subject_001413,task-rest04_in_t1,False
-LZN07e7DtdiB35foaOz,1,subject_000694_t1_in_task-rest02,2771,user_0068,subject_000694,t1_in_task-rest02,False
-LZN09BoC_mn0Qpt7zC7,1,gold_subject_000236_t1_in_tfMRI_MID2_copy1,6277,user_0068,subject_000236,t1_in_tfMRI_MID2,True
-LZN0B7KyPwhdjRd6zPc,0,gold_subject_000740_t1_in_tfMRI_SST2_copy4,7861,user_0068,subject_000740,t1_in_tfMRI_SST2,True
-LZN0DezmBg7oTw6p8iP,0,subject_001069_t1_in_task-rest04,10375,user_0068,subject_001069,t1_in_task-rest04,False
-LZN0GuozIM6qSRv7VeE,1,subject_001465_task-SST02_in_t1,13264,user_0068,subject_001465,task-SST02_in_t1,False
-LZN0ItNScHEDSqsNyAT,1,gold_subject_000810_t1_in_rfMRI_REST3_copy2,8059,user_0068,subject_000810,t1_in_rfMRI_REST3,True
-LZN0K0oF6AGM95Okc3e,1,subject_002179_t1_in_task-rest03,4596,user_0068,subject_002179,t1_in_task-rest03,False
-LZN0L_e7ZhwERMEypId,1,gold_subject_000670_t1_in_tfMRI_MID1_copy1,6357,user_0068,subject_000670,t1_in_tfMRI_MID1,True
-LZN0MrZv0kJ7bXfg5_b,0,gold_subject_000280_t1_in_rfMRI_REST1_copy1,5207,user_0068,subject_000280,t1_in_rfMRI_REST1,True
-LZN0NlSAwbbAyazcsz8,1,gold_subject_000033_tfMRI_nBack2_in_t1_copy1,3670,user_0068,subject_000033,tfMRI_nBack2_in_t1,True
-LZN0OdsbaeiBTHjcIfO,1,subject_000626_task-rest01_in_t1,3572,user_0068,subject_000626,task-rest01_in_t1,False
-LZN0Pa4BQFKtr8Eh7bf,1,subject_002655_task-MID02_in_t1,3812,user_0068,subject_002655,task-MID02_in_t1,False
-LZN0QLpW_LafLIp6Jz2,1,subject_000776_t1_in_task-rest01,3085,user_0068,subject_000776,t1_in_task-rest01,False
-LZN0RZsugm_iqTCHCJK,1,subject_003035_task-nback02_in_t1,4959,user_0068,subject_003035,task-nback02_in_t1,False
-LZN0SCGKyLEvlYwI3Sy,1,subject_001459_task-rest02_in_t1,2550,user_0068,subject_001459,task-rest02_in_t1,False
-LZN0TYEQ6_FLNtMIXyD,1,subject_002871_task-nback01_in_t1,5464,user_0068,subject_002871,task-nback01_in_t1,False
-LZN0cqP-0Ez9v-jiekc,0,gold_subject_000244_t1_in_tfMRI_MID1_copy1,4031,user_0068,subject_000244,t1_in_tfMRI_MID1,True
-LZN0dxDadCk7cv3YRVI,1,subject_003020_task-rest03_in_t1,4500,user_0068,subject_003020,task-rest03_in_t1,False
-LZN0e_9DpofMQSZUOIu,1,subject_000223_task-MID02_in_t1,6043,user_0031,subject_000223,task-MID02_in_t1,False
-LZN0erZLrxiC3hPlJDl,1,subject_002314_task-SST02_in_t1,3698,user_0068,subject_002314,task-SST02_in_t1,False
-LZN0fmLkFaSDKvO9KNj,1,subject_001474_t1_in_task-nback01,3727,user_0068,subject_001474,t1_in_task-nback01,False
-LZN0gDOc_5ar1r_rSkM,1,subject_002021_task-MID01_in_t1,6712,user_0031,subject_002021,task-MID01_in_t1,False
-LZN0gaGKu_OXTk2Dbkm,1,subject_001697_t1_in_task-MID01,3281,user_0068,subject_001697,t1_in_task-MID01,False
-LZN0hj1gqkzWC7Xe9Bu,0,subject_001424_t1_in_task-MID02,4618,user_0068,subject_001424,t1_in_task-MID02,False
-LZN0iECeyOu5qfyW15w,1,subject_000840_task-MID01_in_t1,2023,user_0068,subject_000840,task-MID01_in_t1,False
-LZN0jHhtkV3rzCPtC6c,0,subject_003866_task-SST02_in_t1,4287,user_0068,subject_003866,task-SST02_in_t1,False
-LZN0kV1VsUSIMZf380T,0,gold_subject_001483_tfMRI_SST1_in_t1_copy2,4905,user_0068,subject_001483,tfMRI_SST1_in_t1,True
-LZN0lYD8IcCvaij9pQV,0,subject_003752_t1_in_task-rest03,4267,user_0068,subject_003752,t1_in_task-rest03,False
-LZN0mhWm3AJYbKLxg-p,1,subject_003142_task-rest03_in_t1,4721,user_0068,subject_003142,task-rest03_in_t1,False
-LZN0oU15l6nkt7pMrXD,0,gold_subject_001485_tfMRI_nBack1_in_t1_copy3,7210,user_0068,subject_001485,tfMRI_nBack1_in_t1,True
-LZN0oyd3prmgkdJvEQK,1,subject_003641_t1_in_task-rest02,1990,user_0068,subject_003641,t1_in_task-rest02,False
-LZN0pY0v7u1oVtBvWJt,1,subject_003520_task-rest04_in_t1,2289,user_0068,subject_003520,task-rest04_in_t1,False
-LZN0q1lMjbgAFnP-X84,1,subject_002828_t1_in_task-rest04,1998,user_0068,subject_002828,t1_in_task-rest04,False
-LZN0qUXVNz34T7oVkwt,1,subject_000616_task-rest01_in_t1,1808,user_0068,subject_000616,task-rest01_in_t1,False
-LZN0rKB4c8FWfzRTyOj,0,subject_001365_task-MID02_in_t1,3396,user_0068,subject_001365,task-MID02_in_t1,False
-LZN0rvejLn8-cU4hTI6,0,gold_subject_002570_rfMRI_REST1_in_t1_copy2,2422,user_0068,subject_002570,rfMRI_REST1_in_t1,True
-LZN0tLF784zv1ojKfHC,0,subject_003659_task-nback01_in_t1,5746,user_0068,subject_003659,task-nback01_in_t1,False
-LZN0vDPZ2ELbTEGnH9j,1,subject_001846_t1_in_task-rest03,7654,user_0068,subject_001846,t1_in_task-rest03,False
-LZN0yihptuI7o9Gm208,1,subject_000207_t1_in_task-nback01,14317,user_0068,subject_000207,t1_in_task-nback01,False
-LZN1-79TqEW5CdbEEVx,1,subject_000824_t1_in_task-SST01,5691,user_0068,subject_000824,t1_in_task-SST01,False
-LZN1-eWrO6n9uNDqduA,1,subject_002131_task-SST02_in_t1,2163,user_0068,subject_002131,task-SST02_in_t1,False
-LZN10zv8cHN7yL31ei_,1,gold_subject_000099_t1_in_rfMRI_REST2_copy4,5429,user_0068,subject_000099,t1_in_rfMRI_REST2,True
-LZN11RROZQTklAKGM8Y,1,subject_000864_task-rest03_in_t1,1790,user_0068,subject_000864,task-rest03_in_t1,False
-LZN123U688csnYu80Xj,1,subject_000052_t1_in_task-nback01,2521,user_0068,subject_000052,t1_in_task-nback01,False
-LZN1O4pAt2e-t5jqKqy,1,subject_001268_t1_in_task-MID01,8716,user_0068,subject_001268,t1_in_task-MID01,False
-LZN1OtlxtLQs5W-R9fz,1,gold_subject_000356_t1_in_rfMRI_REST4_copy2,3288,user_0068,subject_000356,t1_in_rfMRI_REST4,True
-LZN1POOz0TsLqS3PH_I,1,subject_000111_t1_in_task-rest01,1991,user_0068,subject_000111,t1_in_task-rest01,False
-LZN1Pw85V6489VhCiHb,1,subject_000842_task-nback02_in_t1,2188,user_0068,subject_000842,task-nback02_in_t1,False
-LZN1QJ6l6HJTP1tp0Oh,1,gold_subject_000512_t1_in_tfMRI_MID1_copy2,1494,user_0068,subject_000512,t1_in_tfMRI_MID1,True
-LZN1RJ3mxOLgXI74x2a,1,subject_002234_task-rest03_in_t1,4059,user_0068,subject_002234,task-rest03_in_t1,False
-LZN1RgHjXpSlQYOQWuU,1,subject_001459_task-rest03_in_t1,1516,user_0068,subject_001459,task-rest03_in_t1,False
-LZN1SF9MLtuTlZUL-IA,1,gold_subject_001095_tfMRI_MID2_in_t1_copy1,2256,user_0068,subject_001095,tfMRI_MID2_in_t1,True
-LZN1Sf928BrvXkybhNn,1,subject_000601_t1_in_task-rest03,1689,user_0068,subject_000601,t1_in_task-rest03,False
-LZN1TK70PTIs1uROk7H,1,gold_subject_000538_rfMRI_REST1_in_t1_copy3,2648,user_0068,subject_000538,rfMRI_REST1_in_t1,True
-LZN1Tp7ecltIoSOcKPG,1,subject_000720_t1_in_task-rest02,2016,user_0068,subject_000720,t1_in_task-rest02,False
-LZN1UCMi-a-inWb3CID,1,subject_001945_t1_in_task-rest02,1514,user_0068,subject_001945,t1_in_task-rest02,False
-LZN1UWhUS4a0BgAC7F1,1,subject_004006_t1_in_task-rest04,1270,user_0068,subject_004006,t1_in_task-rest04,False
